ID,Year,Month,BranchCodeText,BranchCode,BranchName,AreaName,SAM,Region,Segment,AlertTotal,AlertClosed,AlertOutStanding,AlertRatio,AlertScore,STRRaised,STRRaisedScore,STRConverted,STRConvertedScore,CLTrainingTotal,CLTrainingClosed,CLTrainingOutStanding,CLTrainingRatio,CLTrainingScore,ELTrainingTotal,ELTrainingClosed,ELTrainingOutStanding,ELTrainingRatio,ELTrainingScore,KYCTotal,KYCclosed,KYCOutStanding,KYCRatio,KYCScore,BranchReviewTotal,BranchReviewClose,BranchReviewOutStanding,BranchReviewRatio,BranchReviewScore,PEPTotal,PEPClose,PEPOutstanding,PEPRatio,PEPScore,TOP100Ratio,TOP100Score,TotalScore,TotalScoreWOBonus,RankOrder,RegionRankOrder,Threshold,
35066,2019,09,0019,19,Landhi Inustrial Area,Korangi,SAM South,Karachi,Retail,17,15,2,0.8823529,22.05882,,,,,1,1,0,1,10,9,9,0,1,10,150,149,1,0.9933333,19.86667,0,0,0,1,20,0,0,0,1,0,1,15,96.92549,96.92549,1060,73,Significantly Compliant,
34990,2019,09,0020,20,Liaquatabad,FB Area,SAM North,Karachi,Retail,14,10,4,0.7142857,17.85714,,,,,0,0,0,1,10,9,9,0,1,10,331,331,0,1,20,0,0,0,1,20,0,0,0,1,0,1,15,92.85714,92.85714,1241,97,Significantly Compliant,
34997,2019,09,0023,23,NAPIER RD; KARACHI,Garden,SAM South,Karachi,Retail,0,0,0,1,25,,,,,0,0,0,1,10,0,0,0,1,10,26,26,0,1,20,0,0,0,1,20,0,0,0,1,0,1,15,100,100,544,12,Fully Compliant,
34991,2019,09,0024,24,Nazimabad,FB Area,SAM North,Karachi,Retail,15,15,0,1,25,,,,,1,1,0,1,10,12,12,0,1,10,221,221,0,1,20,0,0,0,1,20,0,0,0,1,0,1,15,100,100,550,17,Fully Compliant,
35036,2019,09,0025,25,New Challi,HB Annexe Area,SAM West,Karachi,Retail,30,30,0,1,25,,,,,0,0,0,1,10,9,9,0,1,10,150,148,2,0.9866667,19.73333,55,54,1,0.9818182,19.63636,0,0,0,1,0,1,15,99.36969,99.36969,882,51,Significantly Compliant,
35094,2019,09,0027,27,Nursery,Nursery Area,SAM East,Karachi,Retail,34,34,0,1,25,,,,,0,0,0,1,10,16,16,0,1,10,137,135,2,0.9854015,19.70803,27,27,0,1,20,0,0,0,1,0,1,15,99.70803,99.70803,826,44,Significantly Compliant,
35095,2019,09,0028,28,P.A.F.,Nursery Area,SAM East,Karachi,Retail,20,18,2,0.9,22.5,,,,,0,0,0,1,10,12,12,0,1,10,161,113,48,0.7018633,14.03727,0,0,0,1,20,0,0,0,1,0,1,15,91.53727,91.53727,1284,105,Significantly Compliant,
35027,2019,09,0029,29,PIB Colony,Gulshan,SAM North,Karachi,Retail,5,0,5,0,0,,,,,0,0,0,1,10,8,8,0,1,10,152,140,12,0.9210526,18.42105,71,71,0,1,20,0,0,0,1,0,1,15,73.42105,73.42105,1593,177,Partially Compliant,
34960,2019,09,0031,31,Rampart Row,Court Area,SAM West,Karachi,Retail,5,5,0,1,25,,,,,2,2,0,1,10,7,7,0,1,10,32,30,2,0.9375,18.75,55,36,19,0.6545454,13.09091,0,0,0,1,0,1,15,91.84091,91.84091,1271,103,Significantly Compliant,
35122,2019,09,0033,33,SADDAR KARACHI,Saddar,SAM East,Karachi,Retail,18,0,18,0,0,,,,,0,0,0,1,10,0,0,0,1,10,28,28,0,1,20,0,0,0,1,20,0,0,0,1,0,1,15,75,75,1549,166,Partially Compliant,
35123,2019,09,0034,34,S.D.V.,Saddar,SAM East,Karachi,Retail,10,7,3,0.7,17.5,,,,,0,0,0,1,10,10,10,0,1,10,60,58,2,0.9666666,19.33333,0,0,0,1,20,0,0,0,1,0,1,15,91.83333,91.83333,1272,104,Significantly Compliant,
36026,2019,09,0038,38,TARIQ ROAD; KARACHI,Sind Secretariate Area,SAM South,Karachi,Retail,9,0,9,0,0,,,,,0,0,0,1,10,0,0,0,1,10,122,113,9,0.9262295,18.52459,0,0,0,1,20,0,0,0,1,0,1,15,73.52459,73.52459,1592,176,Partially Compliant,
35000,2019,09,0039,39,Timber Market,Garden,SAM South,Karachi,Retail,3,3,0,1,25,,,,,0,0,0,1,10,6,6,0,1,10,168,168,0,1,20,0,0,0,1,20,0,0,0,1,0,1,15,100,100,547,15,Fully Compliant,
35037,2019,09,0040,40,West Wharf,HB Annexe Area,SAM West,Karachi,Retail,17,6,11,0.3529412,8.823529,,,,,0,0,0,1,10,9,9,0,1,10,104,73,31,0.7019231,14.03846,0,0,0,1,20,0,0,0,1,0,1,15,77.861989,77.861989,1521,159,Partially Compliant,
35061,2019,09,0042,42,State Life,Independent Karachi,Independent Karachi,Karachi,Retail,47,31,16,0.6595744,16.48936,,,,,0,0,0,1,10,10,10,0,1,10,236,86,150,0.3644068,7.288136,0,0,0,1,20,0,0,0,1,0,1,15,78.777496,78.777496,1510,158,Partially Compliant,
35124,2019,09,0043,43,Club Road,Saddar,SAM East,Karachi,Retail,40,39,1,0.975,24.375,,,,,0,0,0,1,10,10,9,1,0.9,9,104,104,0,1,20,35,35,0,1,20,0,0,0,1,0,1,15,98.375,98.375,968,60,Significantly Compliant,
35125,2019,09,0044,44,Elphinstone Street,Saddar,SAM East,Karachi,Retail,12,6,6,0.5,12.5,,,,,0,0,0,1,10,9,9,0,1,10,54,53,1,0.9814815,19.62963,0,0,0,1,20,0,0,0,1,0,1,15,87.12963,87.12963,1377,127,Partially Compliant,
35126,2019,09,0045,45,Preedy Street,Saddar,SAM East,Karachi,Retail,2,2,0,1,25,,,,,0,0,0,1,10,7,7,0,1,10,41,40,1,0.9756098,19.5122,38,38,0,1,20,0,0,0,1,0,1,15,99.5122,99.5122,865,48,Significantly Compliant,
35038,2019,09,0047,47,Habib Bank Annexe,HB Annexe Area,SAM West,Karachi,Retail,62,49,13,0.7903226,19.75806,,,,,3,3,0,1,10,16,16,0,1,10,460,316,144,0.6869565,13.73913,35,35,0,1,20,0,0,0,1,0,1,15,88.49719,88.49719,1332,115,Partially Compliant,
35001,2019,09,0050,50,Barness Street,Garden,SAM South,Karachi,Retail,8,8,0,1,25,,,,,0,0,0,1,10,7,7,0,1,10,383,383,0,1,20,40,40,0,1,20,0,0,0,1,0,1,15,100,100,548,16,Fully Compliant,
35039,2019,09,0051,51,Aram Bagh,HB Annexe Area,SAM West,Karachi,Retail,4,4,0,1,25,,,,,0,0,0,1,10,9,9,0,1,10,106,106,0,1,20,55,55,0,1,20,0,0,0,1,0,1,15,100,100,557,24,Fully Compliant,
35056,2019,09,0053,53,Paposh Nagar,Hyderi Area,SAM North,Karachi,Retail,8,4,4,0.5,12.5,,,,,1,1,0,1,10,9,9,0,1,10,86,85,1,0.9883721,19.76744,41,41,0,1,20,0,0,0,1,0,1,15,87.26744,87.26744,1369,125,Partially Compliant,
35127,2019,09,0056,56,Clifton Broadway,Saddar,SAM East,Karachi,Retail,40,35,5,0.875,21.875,,,,,1,1,0,1,10,16,15,1,0.9375,9.375,129,129,0,1,20,0,0,0,1,20,1,1,0,1,0,1,15,96.25,96.25,1092,79,Significantly Compliant,
35139,2019,09,0057,57,Keamari,Sind Secretariate Area,SAM South,Karachi,Retail,20,13,7,0.65,16.25,,,,,2,2,0,1,10,8,8,0,1,10,298,298,0,1,20,0,0,0,1,20,0,0,0,1,0,1,15,91.25,91.25,1289,107,Significantly Compliant,
35113,2019,09,0058,58,PAF Base Masroor,Plaza,SAM West,Karachi,Retail,7,3,4,0.4285714,10.71429,,,,,0,0,0,1,10,6,6,0,1,10,51,51,0,1,20,0,0,0,1,20,0,0,0,1,0,1,15,85.71429,85.71429,1396,132,Partially Compliant,
34962,2019,09,0059,59,Shershah,Court Area,SAM West,Karachi,Retail,19,7,12,0.368421,9.210526,,,,,1,1,0,1,10,10,9,1,0.9,9,183,182,1,0.9945355,19.89071,0,0,0,1,20,0,0,0,1,0,1,15,83.101236,83.101236,1451,140,Partially Compliant,
35005,2019,09,0062,62,Garden,Garden,SAM South,Karachi,Retail,10,6,4,0.6,15,,,,,1,1,0,1,10,12,12,0,1,10,223,223,0,1,20,35,35,0,1,20,0,0,0,1,0,1,15,90,90,1305,110,Significantly Compliant,
34992,2019,09,0063,63,Azizabad,FB Area,SAM North,Karachi,Retail,4,2,2,0.5,12.5,,,,,0,0,0,1,10,11,11,0,1,10,118,118,0,1,20,55,55,0,1,20,0,0,0,1,0,1,15,87.5,87.5,1356,121,Partially Compliant,
35085,2019,09,0064,64,Jinnah Terminal,Malir,SAM East,Karachi,Retail,26,25,1,0.9615384,24.03846,,,,,0,0,0,1,10,8,8,0,1,10,105,96,9,0.9142857,18.28572,0,0,0,1,20,0,0,0,1,0,1,15,97.32418,97.32418,1045,69,Significantly Compliant,
35128,2019,09,0065,65,J.P.M.C.,Saddar,SAM East,Karachi,Retail,20,18,2,0.9,22.5,,,,,0,0,0,1,10,10,10,0,1,10,173,173,0,1,20,0,0,0,1,20,0,0,0,1,0,1,15,97.5,97.5,1037,68,Significantly Compliant,
34714,2019,09,0066,66,Dhoro Naro,Mirpurkhas Area,NO SAM,Hyderabad,Retail,4,0,4,0,0,,,,,1,0,1,0,0,4,4,0,1,10,34,34,0,1,20,86,86,0,1,20,0,0,0,1,0,1,15,65,65,1646,58,Marginally Compliant,
34685,2019,09,0067,67,Market Road Hyderabad,Hyderabad City Area,NO SAM,Hyderabad,Retail,9,7,2,0.7777778,19.44444,,,,,1,1,0,1,10,10,10,0,1,10,98,98,0,1,20,82,82,0,1,20,0,0,0,1,0,1,15,94.44444,94.44444,1189,19,Significantly Compliant,
34686,2019,09,0068,68,Station Road Hyderabad (IB W),Hyderabad City Area,NO SAM,Hyderabad,Retail,15,6,9,0.4,10,,,,,3,3,0,1,10,25,25,0,1,10,142,139,3,0.9788733,19.57747,126,126,0,1,20,6,1,5,0.1666667,-5,1,15,79.57747,79.57747,1503,41,Partially Compliant,
34693,2019,09,0069,69,Sindh University Hyderabad,Jamshoro Area,NO SAM,Hyderabad,Retail,1,1,0,1,25,,,,,0,0,0,1,10,6,6,0,1,10,422,422,0,1,20,51,51,0,1,20,1,0,1,0,-5,1,15,95,95,1131,15,Significantly Compliant,
34687,2019,09,0070,70,Shahi Bazar Hyderabad,Hyderabad City Area,NO SAM,Hyderabad,Retail,3,2,1,0.6666667,16.66667,,,,,0,0,0,1,10,9,9,0,1,10,67,67,0,1,20,75,75,0,1,20,0,0,0,1,0,1,15,91.66667,91.66667,1276,23,Significantly Compliant,
35991,2019,09,0071,71,Jacobabad-Quaid-E-Azam Road,Kashmore,NO SAM,Sukkur,Retail,0,0,0,1,25,,,,,0,0,0,1,10,9,9,0,1,10,149,137,12,0.9194631,18.38926,203,203,0,1,20,0,0,0,1,0,1,15,98.38926,98.38926,967,35,Significantly Compliant,
34694,2019,09,0072,72,Jamshoro,Jamshoro Area,NO SAM,Hyderabad,Retail,9,6,3,0.6666667,16.66667,,,,,15,6,9,0.4,4,28,28,0,1,10,258,258,0,1,20,122,122,0,1,20,0,0,0,1,0,1,15,85.66667,85.66667,1397,36,Partially Compliant,
36001,2019,09,0073,73,Khairpur Mir S-Mall Road,Khairpur,NO SAM,Sukkur,Retail,0,0,0,1,25,,,,,1,1,0,1,10,8,8,0,1,10,271,271,0,1,20,215,215,0,1,20,0,0,0,1,0,1,15,100,100,573,16,Fully Compliant,
35992,2019,09,0074,74,Kashmore-Guddu Barrage,Kashmore,NO SAM,Sukkur,Retail,0,0,0,1,25,,,,,1,1,0,1,10,4,4,0,1,10,63,63,0,1,20,93,88,5,0.9462366,18.92473,0,0,0,1,0,1,15,98.92473,98.92473,924,32,Significantly Compliant,
36011,2019,09,0075,75,Larkana-Bunder Road,Larkana,NO SAM,Sukkur,Retail,0,0,0,1,25,,,,,6,6,0,1,10,18,18,0,1,10,268,268,0,1,20,125,125,0,1,20,2,1,1,0.5,-5,1,15,95,95,1156,43,Significantly Compliant,
34715,2019,09,0076,76,Bank Road Mirpurkhas,Mirpurkhas Area,NO SAM,Hyderabad,Retail,19,15,4,0.7894737,19.73684,,,,,0,0,0,1,10,21,21,0,1,10,77,77,0,1,20,118,118,0,1,20,5,0,5,0,-5,1,15,89.73684,89.73684,1309,28,Partially Compliant,
35976,2019,09,0077,77,Moro,Dadu,NO SAM,Sukkur,Retail,0,0,0,1,25,,,,,2,2,0,1,10,6,6,0,1,10,70,70,0,1,20,107,97,10,0.9065421,18.13084,0,0,0,1,0,1,15,98.13084,98.13084,999,39,Significantly Compliant,
34725,2019,09,0078,78,Masjid Road Nawabshah,Nawabshah Area,NO SAM,Hyderabad,Retail,11,6,5,0.5454546,13.63636,,,,,0,0,0,1,10,11,11,0,1,10,192,192,0,1,20,97,97,0,1,20,3,0,3,0,-5,1,15,83.63636,83.63636,1438,38,Partially Compliant,
36012,2019,09,0079,79,Shahdadkot,Larkana,NO SAM,Sukkur,Retail,0,0,0,1,25,,,,,1,1,0,1,10,6,6,0,1,10,120,120,0,1,20,63,62,1,0.984127,19.68254,2,1,1,0.5,-5,1,15,94.68254,94.68254,1181,47,Significantly Compliant,
34726,2019,09,0080,80,Shahdad Pur,Nawabshah Area,NO SAM,Hyderabad,Retail,5,4,1,0.8,20,,,,,1,0,1,0,0,5,5,0,1,10,50,45,5,0.9,18,98,98,0,1,20,2,0,2,0,-5,1,15,78,78,1520,45,Partially Compliant,
36020,2019,09,0081,81,Shikarpur-Grain Market,Sukkur,NO SAM,Sukkur,Retail,0,0,0,1,25,,,,,0,0,0,1,10,10,9,1,0.9,9,135,133,2,0.9851852,19.7037,116,116,0,1,20,4,0,4,0,-5,1,15,93.7037,93.7037,1221,49,Significantly Compliant,
36021,2019,09,0082,82,Sukkur-Frere Road,Sukkur,NO SAM,Sukkur,Retail,0,0,0,1,25,,,,,3,3,0,1,10,13,13,0,1,10,238,235,3,0.9873949,19.7479,121,113,8,0.9338843,18.67769,0,0,0,1,0,1,15,98.42559,98.42559,965,34,Significantly Compliant,
36022,2019,09,0083,83,Sukkur-Mirch Bazar,Sukkur,NO SAM,Sukkur,Retail,0,0,0,1,25,,,,,0,0,0,1,10,5,5,0,1,10,32,32,0,1,20,166,166,0,1,20,1,1,0,1,0,1,15,100,100,630,22,Fully Compliant,
34702,2019,09,0084,84,S.A.U Tando Jam,Latifabad-Autobhan Area,NO SAM,Hyderabad,Retail,0,0,0,1,25,,,,,0,0,0,1,10,9,9,0,1,10,89,89,0,1,20,58,58,0,1,20,0,0,0,1,0,1,15,100,100,299,8,Fully Compliant,
34678,2019,09,0085,85,Tando Muhammad Khan,Badin-Thatta Area,NO SAM,Hyderabad,Retail,3,1,2,0.3333333,8.333334,,,,,1,1,0,1,10,13,13,0,1,10,36,36,0,1,20,107,107,0,1,20,1,0,1,0,-5,1,15,78.333334,78.333334,1516,43,Partially Compliant,
34703,2019,09,0086,86,Latifabad No.7 Hyderabad (IB W),Latifabad-Autobhan Area,NO SAM,Hyderabad,Retail,13,9,4,0.6923077,17.30769,,,,,1,1,0,1,10,21,21,0,1,10,247,241,6,0.9757085,19.51417,223,223,0,1,20,2,0,2,0,-5,1,15,86.82186,86.82186,1385,34,Partially Compliant,
34704,2019,09,0087,87,Tando Allahyar,Latifabad-Autobhan Area,NO SAM,Hyderabad,Retail,4,4,0,1,25,,,,,2,2,0,1,10,11,11,0,1,10,98,98,0,1,20,91,91,0,1,20,0,0,0,1,0,1,15,100,100,300,9,Fully Compliant,
34688,2019,09,0089,89,Gari Khata Hyderabad,Hyderabad City Area,NO SAM,Hyderabad,Retail,12,2,10,0.1666667,4.166667,,,,,0,0,0,1,10,12,12,0,1,10,327,327,0,1,20,186,186,0,1,20,9,0,9,0,-5,1,15,74.166667,74.166667,1584,52,Partially Compliant,
35682,2019,09,0090,90,Peshawar-Dabgari Gate,Peshawar-City,NO SAM,Peshawar,Retail,5,4,1,0.8,20,,,,,1,1,0,1,10,7,7,0,1,10,161,161,0,1,20,44,44,0,1,20,0,0,0,1,0,0,0,80,80,1484,58,Partially Compliant,
35977,2019,09,0091,91,Dadu-Station Road,Dadu,NO SAM,Sukkur,Retail,0,0,0,1,25,,,,,5,5,0,1,10,10,10,0,1,10,122,122,0,1,20,87,87,0,1,20,0,0,0,1,0,1,15,100,100,594,20,Fully Compliant,
34727,2019,09,0092,92,Sanghar,Nawabshah Area,NO SAM,Hyderabad,Retail,3,3,0,1,25,,,,,0,0,0,1,10,8,8,0,1,10,172,115,57,0.6686047,13.37209,52,52,0,1,20,2,0,2,0,-5,1,15,88.37209,88.37209,1334,31,Partially Compliant,
34696,2019,09,0093,93,Hala,Jamshoro Area,NO SAM,Hyderabad,Retail,5,3,2,0.6,15,,,,,0,0,0,1,10,9,9,0,1,10,113,113,0,1,20,0,0,0,1,20,0,0,0,1,0,1,15,90,90,1303,27,Significantly Compliant,
34689,2019,09,0094,94,S.I.T.E. Hyderabad,Hyderabad City Area,NO SAM,Hyderabad,Retail,8,4,4,0.5,12.5,,,,,1,1,0,1,10,10,10,0,1,10,105,105,0,1,20,0,0,0,1,20,0,0,0,1,0,1,15,87.5,87.5,1362,33,Partially Compliant,
35994,2019,09,0095,95,Thul,Kashmore,NO SAM,Sukkur,Retail,0,0,0,1,25,,,,,3,3,0,1,10,7,7,0,1,10,34,34,0,1,20,99,90,9,0.9090909,18.18182,0,0,0,1,0,1,15,98.18182,98.18182,993,38,Significantly Compliant,
35985,2019,09,0096,96,Ubauro,F.F.C. Mirpur Mathelo,NO SAM,Sukkur,Retail,0,0,0,1,25,,,,,1,1,0,1,10,3,3,0,1,10,39,39,0,1,20,56,56,0,1,20,0,0,0,1,0,1,15,100,100,580,11,Fully Compliant,
35986,2019,09,0098,98,Mirpur Mathelo,F.F.C. Mirpur Mathelo,NO SAM,Sukkur,Retail,0,0,0,1,25,,,,,2,2,0,1,10,6,6,0,1,10,52,52,0,1,20,97,97,0,1,20,0,0,0,1,0,1,15,100,100,581,12,Fully Compliant,
35728,2019,09,0099,99,ZHOB,Zarghoon,NO SAM,Quetta,Retail,21,21,0,1,25,,,,,0,0,0,1,10,6,6,0,1,10,50,50,0,1,20,40,40,0,1,20,1,1,0,1,0,1,15,100,100,690,9,Fully Compliant,
35980,2019,09,0100,100,Ghotki,F.F.C. Mirpur Mathelo,NO SAM,Sukkur,Retail,0,0,0,1,25,,,,,0,0,0,1,10,11,11,0,1,10,119,118,1,0.9915966,19.83193,71,71,0,1,20,4,1,3,0.25,-5,1,15,94.83193,94.83193,1174,46,Significantly Compliant,
35495,2019,09,0101,101,ALIPUR-IQBAL CHOWK,Muzaffargarh,NO SAM,Multan,Retail,3,3,0,1,25,,,,,0,0,0,1,10,5,5,0,1,10,194,194,0,1,20,55,55,0,1,20,1,0,1,0,-5,1,15,95,95,1150,99,Significantly Compliant,
34360,2019,09,0102,102,Farid Gate,Farid Gate,NO SAM,Bahawalpur,Retail,1,1,0,1,25,,,,,2,1,1,0.5,5,15,15,0,1,10,389,233,156,0.5989717,11.97943,69,69,0,1,20,5,4,1,0.8,-5,1,15,81.97943,81.97943,1462,59,Partially Compliant,
35600,2019,09,0103,103,Bhakkar-Muslim Bazar,D.I. Khan,NO SAM,Peshawar,Retail,4,2,2,0.5,12.5,,,,,2,2,0,1,10,9,9,0,1,10,394,384,10,0.9746193,19.49239,70,70,0,1,20,0,0,0,1,0,0.09090909,1.363636,73.356026,73.356026,1594,84,Partially Compliant,
35730,2019,09,0104,104,VEHARI BAZAR BUREWALA.,Burewala,NO SAM,Sahiwal,Retail,2,2,0,1,25,,,,,2,2,0,1,10,10,10,0,1,10,326,326,0,1,20,86,86,0,1,20,2,2,0,1,0,1,15,100,100,692,42,Fully Compliant,
34371,2019,09,0105,105,Chishtian-Ghalla Mandi,Gm Chishtian,NO SAM,Bahawalpur,Retail,4,4,0,1,25,,,,,1,1,0,1,10,17,17,0,1,10,253,253,0,1,20,71,71,0,1,20,1,1,0,1,0,1,15,100,100,52,24,Fully Compliant,
35436,2019,09,0106,106,MAIN D.G KHAN,DG Khan Area,NO SAM,Multan,Retail,6,6,0,1,25,,,,,0,0,0,1,10,15,15,0,1,10,211,211,0,1,20,79,79,0,1,20,5,1,4,0.2,-5,1,15,95,95,1146,95,Significantly Compliant,
34784,2019,09,0107,107,Gilgit,Gilgit,SAM Semi Urban,Islamabad,Retail,20,15,5,0.75,18.75,,,,,0,0,0,1,10,18,15,3,0.8333333,8.333333,154,146,8,0.9480519,18.96104,58,55,3,0.9482759,18.96552,0,0,0,1,0,1,15,90.009893,90.009893,1301,95,Significantly Compliant,
34508,2019,09,0108,108,GOJRANEW RAILWAY ROAD.,Toba Tek Singh Area,NO SAM,Faisalabad,Retail,1,0,1,0,0,,,,,1,1,0,1,10,10,10,0,1,10,481,278,203,0.5779626,11.55925,30,30,0,1,20,1,1,0,1,0,1,15,66.55925,66.55925,1641,99,Marginally Compliant,
34522,2019,09,0109,109,Bank Square,Bank Square Gujranwala,NO SAM,Gujranwala,Retail,10,10,0,1,25,,,,,2,2,0,1,10,24,24,0,1,10,208,201,7,0.9663461,19.32692,78,78,0,1,20,0,0,0,1,0,1,15,99.32692,99.32692,886,52,Significantly Compliant,
34523,2019,09,0110,110,Sarafa Bazar,Bank Square Gujranwala,NO SAM,Gujranwala,Retail,4,4,0,1,25,,,,,0,0,0,1,10,4,4,0,1,10,26,26,0,1,20,62,62,0,1,20,0,0,0,1,0,1,15,100,100,126,5,Fully Compliant,
34595,2019,09,0111,111,CIRCULAR ROAD BR GUJ,Gujrat City,NO SAM,Gujrat,Retail,5,5,0,1,25,,,,,4,4,0,1,10,8,8,0,1,10,273,241,32,0.8827839,17.65568,65,65,0,1,20,0,0,0,1,0,1,15,97.65568,97.65568,1030,55,Significantly Compliant,
34756,2019,09,0112,112,Aabpara Market,Blue Area,SAM Islamaabad,Islamabad,Retail,1,1,0,1,25,,,,,1,1,0,1,10,14,14,0,1,10,648,574,74,0.8858024,17.71605,75,75,0,1,20,4,0,4,0,-5,1,15,92.71605,92.71605,1245,82,Significantly Compliant,
35837,2019,09,0113,113,  Jauharabad Thal                             ,Khushab,NO SAM,Sargodha,Retail,0,0,0,1,25,,,,,1,1,0,1,10,8,8,0,1,10,173,173,0,1,20,138,138,0,1,20,3,0,3,0,-5,1,15,95,95,1162,57,Significantly Compliant,
35822,2019,09,0114,114,  Jhang - Saddar Shaheed Road     ,Jhung,NO SAM,Sargodha,Retail,1,1,0,1,25,,,,,3,3,0,1,10,11,11,0,1,10,413,412,1,0.9975787,19.95157,126,126,0,1,20,1,0,1,0,-5,1,15,94.95157,94.95157,1169,63,Significantly Compliant,
34915,2019,09,0115,115,G.T. Road Branch Jhelum,Jhelum-Cantt,NO SAM,Jhelum,Retail,0,0,0,1,25,,,,,2,2,0,1,10,8,8,0,1,10,95,95,0,1,20,35,30,5,0.8571429,17.14286,0,0,0,1,0,1,15,97.14286,97.14286,1052,75,Significantly Compliant,
34942,2019,09,0116,116,Main Branch Jhleum,Ram Din Bazaar,NO SAM,Jhelum,Retail,0,0,0,1,25,1,1,0,0,8,8,0,1,10,16,16,0,1,10,310,309,1,0.9967742,19.93548,53,53,0,1,20,5,5,0,1,0,1,15,100.93548,99.93548,22,3,Fully Compliant,
34494,2019,09,0117,117,KAMILIA CITY RAILWAY ROAD ,Samundri,NO SAM,Faisalabad,Retail,1,1,0,1,25,,,,,0,0,0,1,10,6,6,0,1,10,140,140,0,1,20,45,45,0,1,20,0,0,0,1,0,1,15,100,100,95,36,Fully Compliant,
35469,2019,09,0118,118,KHANEWAL-MAIN BRANCH,Khanewal,NO SAM,Multan,Retail,4,4,0,1,25,,,,,0,0,0,1,10,18,18,0,1,10,356,203,153,0.5702247,11.40449,57,57,0,1,20,4,4,0,1,0,1,15,91.40449,91.40449,1286,106,Significantly Compliant,
35755,2019,09,0119,119,KASUR RAILWAY ROAD,Kasur,NO SAM,Sahiwal,Retail,2,2,0,1,25,,,,,1,1,0,1,10,14,14,0,1,10,271,271,0,1,20,90,90,0,1,20,0,0,0,1,0,1,15,100,100,716,66,Fully Compliant,
